Naive,RandomizeUpdate,Randomize,KMP,Boyer-Mooer,String.indexOf
154437,1531769,481798,170116,7070393,163118
262689,1290709,697334,317343,707539,142072
231193,491031,307468,273138,291844,57367
109231,835033,530245,472093,446917,82585
135593,931776,566952,618740,509305,69998
143746,1139236,623393,678189,515855,80299
161918,1221315,693609,788297,667242,92939
171034,1497076,773618,898785,717082,100539
194894,1418906,860275,754010,205065,88944
222854,1305694,976529,242719,191205,97001
225910,1437185,897440,257899,195505,70496
241221,1483215,1104083,278053,202285,68036
297422,1727989,1253279,353226,216924,100799
283026,1867176,1102098,311413,228133,75258
305307,11480728,1400817,198573,249072,96465
66711,2032070,1428918,86474,224683,46753
62236,2234195,1469892,68956,321494,45610
67231,3408321,1703087,113310,157714,44781
62926,2467078,2247605,89047,136519,44484
68444,3198634,2854076,108980,135989,47518
69314,2686639,1969389,90602,117959,43616
65624,3038368,2168247,89770,161467,42647
74941,2992830,2246283,98465,145248,48807
82792,3053508,2277498,98810,95477,50286
87074,3095274,2158437,106743,144440,56829
93027,3319557,2351299,104430,136201,53060
83623,3297769,2699412,101742,85560,70549
77090,3562678,2863714,92592,80054,47338
83446,3747836,3106247,97989,95227,49302
79043,3680630,2904353,95890,63483,49023
80549,4027505,3790320,108709,66486,47456
87309,4252932,3444025,99744,66496,44045
78332,4368638,3308926,95022,63055,47675
86326,4527732,3613814,112645,78410,55129
87753,4863001,4267568,124282,74509,51043
74038,4421268,3920438,101206,71006,41816
79070,5099852,5901271,108962,66752,42648
82375,5814528,3977283,106995,66242,45015
79683,4824916,3843697,108240,68913,41464
79870,4794338,5084698,109530,71618,46946
85465,5187857,4508859,120037,74048,44328
87482,5600754,5071055,132931,70842,42023
96666,6244349,5561620,133368,75678,46271
97455,15852385,5509552,162005,73346,47746
94829,23901209,5360510,130556,72999,45790
96897,17283668,8925591,136120,80051,52794
103842,6838341,5726780,142446,74212,44003
125752,7748636,7729273,179063,74270,45341
108609,26781090,11046445,144673,81307,51974
106884,7096209,10121960,140781,78864,47118
118654,8101603,7206998,165267,79421,50424
97769,7522105,6383232,142982,68099,44083
108275,7711929,6667535,194567,140804,46183
111023,7707461,6713699,179661,112678,49482
121704,8535850,7227574,207079,143616,48290
116460,9109356,7558695,196131,136302,56419
127932,12142982,9314913,219290,163161,55662
125989,12031095,8654864,239025,178254,56002
127809,8775367,8176759,196169,155882,55493
125414,10487361,9764628,232694,158385,55899
129076,9393870,9222422,258421,161523,54242
124588,10267455,9148632,191497,85807,56516
128578,9361542,8140398,184006,85185,50709
137619,23264004,9202245,199063,87292,59638
139853,12310523,9315299,194115,91703,60414
138648,10680238,9212801,187309,87552,52357
138801,10707163,10011468,218454,89830,64203
146436,11299480,10119247,203232,90802,65908
148239,10864662,10315661,220955,93232,67491
127568,9798488,8913160,175446,84941,52418
150374,10880523,9627482,214422,84714,58917
153247,11995754,10307671,213709,84821,64867
149622,11873582,10347019,199486,93584,62928
158381,12224193,10111844,211020,98921,67123
148900,14294545,11691079,220493,96978,67072
173367,12348748,11349728,221862,94706,62673
156732,13741316,13151687,235774,98119,10845
160822,12609091,14049741,250320,100740,3879
147399,13677352,11669794,218015,104732,3968
158047,14517861,12679694,248372,96111,3820
158270,15977991,14298972,257166,107303,3746
159948,12995956,12248558,209619,90681,3277
110521,11973671,12207030,178742,80555,3070
152957,13296962,12355411,241779,94304,3780
165075,13472372,13106269,217945,92235,3570
161101,15676655,14861715,278345,120958,3722
165002,13758646,13289800,234783,94923,3846
158083,18049419,14896888,260462,106593,4002
156299,16183828,16697616,348431,108017,3760
126047,14246486,14608046,202781,82612,3303
146809,14305965,14310465,225172,95005,3578
177868,14868743,13051770,242739,107794,4045
162888,15697262,14726501,289953,104220,3831
184648,14810440,14701486,243432,102435,3803
160286,18177470,19076323,271082,140199,3789
171454,16277141,15861646,320232,186540,4150
168140,16266997,15832721,306484,166445,4181
176299,16551584,15024569,319629,179166,4235
142577,15785590,14914099,245914,209776,3440
159008,16880450,16567192,303109,176418,3399
193177,17274699,16594720,357085,170593,3739
188353,18156575,16240953,418115,180748,3726
190605,18990576,17227842,363179,192103,3653
161802,18364417,17860177,348753,171013,3551
127225,16241125,15376079,237611,168539,2564
166056,16616293,16218283,318200,178949,3459
164981,19559316,18543586,387218,252831,3812
193620,16371658,15983573,322407,213903,4015
203121,19200424,17987307,299284,108556,3567
201619,19500223,18975257,309860,123157,3615
205653,18511488,17090936,265364,107545,3817
226364,21318789,35370090,360491,124205,3868
206923,21637921,19199257,363097,131116,3695
221379,19259882,18860015,275224,104373,3763
174229,18399555,17605156,255858,97909,3305
138902,17415376,17252491,218463,81971,2674
131581,19024447,18275851,222880,80744,2499
173515,19031855,17643087,250027,88153,2763
142302,19630880,18091321,237311,77568,2497
158971,19265446,18435067,247455,91141,2785
180571,18553709,16657114,253995,95238,3034
148124,18363169,17422235,216755,77226,2355
157684,18137462,18470506,257805,91265,2913
160047,19780782,20084661,248025,79636,2508
152112,18744083,17761019,237785,81789,2565
193427,19539201,18133223,276674,93652,2939
155845,18209800,17950228,240298,86654,2399
137936,18945797,18416223,207590,69375,2356
156941,20383250,17848081,258075,84637,2535
144453,20244328,19504336,265020,90628,2543
176726,19818006,18857165,270956,97018,2646
168073,19352485,18806952,256050,85154,2427
162416,20073161,19841961,246788,76045,2394
158332,20314266,19326444,260775,103670,2566
164191,20680337,20236063,270815,90545,2662
198603,23436512,22945270,338219,103831,2906
224703,21597510,21998294,318324,121331,3023
197212,21349414,20399462,256763,84222,2670
194239,19393525,23830191,262514,91973,2771
185518,20683433,20436925,275502,99922,2838
160353,21501514,19591139,261266,93347,2428
153880,22069255,20034158,259824,89476,2368
166141,21168890,19942553,256687,83189,2367
209383,20504415,21714985,322666,106168,2951
174763,20454734,19802536,259481,90243,2539
170175,20179102,19243402,251560,82512,2357
204284,22083906,20576214,303849,105616,2475
203313,22282919,20106297,302088,100208,2798
350270,25596351,25159293,518841,136000,3902
193514,22764607,20834520,295896,95599,2588
232444,24240899,21466430,343064,111769,3050
179034,20912980,20724021,257406,83678,2326
257701,23846702,23945461,390242,129023,3421
223174,21656608,20555611,321422,112644,2762
205124,22457658,18940899,276510,96155,2610
196548,23245344,22686638,300684,88024,2483
216844,22275322,21695020,335140,106761,2826
186606,22579839,21086251,307468,103156,2526
217631,22287720,23265469,335687,96773,2800
187350,22055381,22481119,292373,94696,2387
243314,23653935,25050291,387358,121247,3148
190867,21100034,21800201,292754,92455,2513
264979,23275208,24391509,399497,129805,3266
209735,25032251,24120660,355366,109999,2631
218139,22775131,21103861,324238,106299,2821
273606,26775684,24954384,417534,139600,3256
200522,21705160,20333456,285221,93709,2583
192146,23198662,23093285,324258,100418,2411
205831,22918562,22410738,329710,102452,2567
219566,21891725,20479677,301245,103253,2614
235668,23086056,22602576,359975,115695,3087
203338,22427883,23706087,336772,96274,2591
208895,22646455,22935722,323761,111333,2505
325163,27072762,25119764,444098,148980,3719
221807,24191362,23828146,364628,121785,2860
195697,22277034,21733522,323046,111920,2771
232499,24744281,22459929,344704,107552,2673
256229,26167503,23686689,382418,116228,3039
283484,26270124,23916842,400632,126304,3102
199311,21796268,21759859,304845,92206,2393
233684,25239430,23984884,343680,111434,2807
340907,26978022,26727569,499951,163655,3778
197440,24713737,23066003,320195,95292,2408
197815,21748583,22443024,312974,96884,2429
298383,25787009,24674069,426711,124813,2863
339872,29125833,26361527,558820,178900,3450
220904,25318631,23588615,348370,98557,2410
225077,25345779,23361197,366163,108415,2417
317986,28296267,28241362,558337,175625,3714
204655,24703051,24017343,344806,101795,2457
248212,23493203,23517411,368896,107465,61653
228416,24961715,24105688,380858,122659,90326
361677,28470236,28571105,520030,160038,120384
304090,27938213,26357061,502686,161322,119971
388645,29376180,29177540,544342,164216,123882
370756,28228573,26208946,561800,158612,114155
367898,27548066,26799216,545937,176643,150029
403643,29338183,24696826,560552,189659,131688
396983,27481153,25766956,535690,180974,138828
367213,28069253,26987642,584841,178186,125140
316746,26103410,24807884,454525,140150,3056
266938,27030513,26050286,449751,124248,2801
294380,25825040,25375653,417189,124851,3018
417806,24212414,25777658,449302,140767,3349
318237,25334974,30344897,417526,121209,2826
358359,24886582,24914614,432238,120067,3172
337388,24794016,26547581,426269,127545,2989
380777,28212232,28022568,492670,138928,3156
262263,24401638,22559922,342904,100583,2513
309967,25342619,26529567,417849,132834,2899
305718,27142450,25617469,448431,129623,2806
320676,26766025,25342052,427187,116516,2623
323105,26042507,23800795,379297,113406,2808
355047,26830990,23818846,430749,123400,3036
263341,26777051,24829341,400852,112766,2546
295610,25314199,27387300,399299,125778,2925
386074,28063551,29056416,501604,149877,3133
367328,28913824,25704007,454051,138130,2991
299081,28273278,25859706,443177,124007,2663
335883,26496453,24518498,391045,117379,2503
446177,30441966,30337348,577999,185604,3764
345431,27674878,24485512,402115,110392,2599
325164,28774695,26110239,414860,110378,2500
443082,29440000,29483064,558894,156447,3372
360072,26665972,24206942,416747,126688,2853
318832,24790172,24252447,373989,105047,2553
327182,26727021,26353232,416593,110312,2637
328057,28443830,26969971,512739,155117,3136
518347,29319616,29564980,653477,205993,66275
458893,33116133,28840585,616444,193309,137057
392501,31138589,30862774,615942,176398,128708
407273,37338087,30349362,612544,188452,141438
424493,31767889,38937812,616213,190553,144851
418185,30252075,29197664,591620,178679,149213
380603,30264794,31086163,646868,192499,140883
427969,31776839,30100386,640695,196259,158072
378551,31036368,27578811,580144,193189,152424
374477,30998583,29216447,595144,192503,136243
458211,30812897,28288565,592713,190667,100057
375837,30402336,29044107,594427,169228,3184
343897,27884603,27515681,490486,129169,2989
364008,27496386,27030095,481485,141442,2862
301646,27817979,26612333,423917,123031,2420
390024,30669702,27415549,561657,151829,3033
283147,26412080,23907693,428962,133970,2649
381404,29285600,29778336,533173,146014,3075
423457,29451781,27251997,511454,150889,3109
320954,29611247,27019382,437483,122965,2454
389480,28816054,26204830,1222948,140205,2913
394994,31301135,29086746,570405,155139,2743
461523,30911589,29171916,577739,162479,3191
365400,27913100,26856194,479954,133235,3034
450748,30156056,27677993,554410,156904,2968
330211,26392720,26209701,471842,133613,2550
327657,28372603,26094516,470028,135146,2498
377495,30215484,28137404,532346,151143,2765
314204,28152452,26913160,507488,889722,2484
340164,27815896,26919081,446060,117763,2427
320355,26977171,25395873,516936,155689,3548
452358,30683133,30897814,674844,188584,3747
365522,27595400,26151649,490455,133266,2502
347704,28299484,25453522,522069,145564,2550
522448,31931428,27576797,539630,180571,4374
345530,29903640,28540325,530018,131257,2441
345929,29517039,26197810,536134,154104,2851
344954,25501015,25862875,493553,137971,2920
337711,26826669,26311736,531081,145464,2763
311615,27581370,27073421,492115,129598,2480
344067,27996721,27485427,511195,138679,2700
348031,26151214,26383458,542621,160328,2854
344313,27291828,25734369,508907,138959,2734
318022,27252700,24621925,449006,130351,2470
432102,27726861,25911088,504891,138509,2759
415070,30614546,28161268,620238,163744,2849
329566,29330006,26372288,472656,124914,2435
468949,33006543,30718191,601574,157966,3289
508983,30164046,27455378,644128,187159,3283
344489,27504420,26312134,475244,121868,2588
423130,31081803,26746455,599389,173290,4369
379261,26971527,24719817,547509,158395,2687
360664,29192887,26627267,500456,128375,2511
342481,28682454,26549138,532308,150290,2629
424481,27540077,26593044,573836,148499,2742
370167,26606487,26240321,548719,151099,2573
342745,26470637,27065928,528158,128596,2370
371551,27629833,26960202,499363,141232,3086
399349,29379846,26862897,591486,170229,3102
351032,26302199,25270394,505356,133509,2506
400100,31040447,27602749,540689,142206,2526
540932,29517541,29416828,742392,210283,3474
362892,29446330,25742745,505310,131182,2539
396882,27731083,25507935,566893,154666,2761
380846,25413499,26025851,601065,151387,2597
434205,28042106,26523462,616148,172957,3004
393689,28582584,26590832,524222,139465,2576
395018,27917783,26763175,571627,146799,2559
498885,31458841,28694826,735885,192512,2980
341661,25908459,26158199,493985,122089,2434
405056,29489644,26569340,587618,152657,2671
417690,32098874,26799913,591506,162160,3040
351752,28089474,26365266,536855,139200,2454
431844,28537668,25635314,592253,152381,2781
417557,30105874,27646246,626803,155402,2664
421589,26981445,25026406,653612,170935,2768
441560,29336957,27102447,576254,154719,2777
438831,29094368,27325752,585411,158615,2800
442272,29814472,27468835,636712,190419,3620
378196,28633461,26337186,572728,144394,2552
455915,26704596,27143765,570234,160407,2995
480583,29035498,25266646,635601,189252,3086
433538,28781205,26376639,545769,151378,2948
401708,31107383,27014250,613874,165787,2567
410708,25662606,26280981,505640,141167,2495
415273,27700211,24734388,632560,172706,2820
441478,28563052,25116538,600679,162845,2815
401499,32265759,28813360,617663,169318,2778
437127,30806966,27428617,600937,166791,2714
419708,31828469,29428991,584225,155907,2650
393031,28438406,26588006,533228,132119,2404
549451,29147756,28316051,674010,187586,3143
416456,30580663,27336665,546302,138644,2509
520231,30140474,27930383,700652,206650,3820
608601,36085930,31635870,854249,240637,3418
377394,33064155,30053447,585839,142461,2387
470380,29506044,27663587,663367,166542,2949
576611,35315350,30649768,702478,198380,3364
436288,30401593,29153075,576604,155186,2583
493269,31951530,27089471,750621,211993,3170
520404,33777811,32264527,699787,176906,3722
432747,29198497,26871177,619117,155067,2576
459670,26357415,27301655,626511,166339,2755
470723,28657060,26204092,635271,173446,3400
405014,30930914,27886615,586789,147303,3156
505696,34166358,28200058,735736,203750,3352
433696,28880806,24780241,589391,154074,2716
460949,33033330,28388677,665292,178470,3526
445458,36976395,32440465,603928,157392,2504
473994,32382863,31305386,725691,191049,2847
479538,38082309,33652658,699733,175345,2534
406833,36309943,33925264,649794,161774,2467
471577,31477759,29631591,693468,189671,3172
427291,29910104,29520976,605438,148812,2418
409113,29145287,29434243,590270,159053,3050
504668,32042324,29269793,679816,176085,2795
414906,35594278,31120617,675197,170152,2717
454243,35179376,33444386,688204,188078,2822
476478,32394699,32386023,701274,174708,2680
507982,30224070,28233072,595247,143815,2473
569778,29894567,27688869,642851,177856,2829
495492,28476258,28417399,716551,186506,2766
431160,31996428,31297742,655724,156708,2525
491571,30032211,29373452,638578,157479,2612
470961,31254571,29776763,622642,173433,2620
464315,34272796,32793751,656131,149214,2369
450146,33716425,31708449,718909,176474,2628
484142,33129579,30291637,686896,188389,3016
439446,30804554,30629614,649191,153010,2466
515391,33917800,31195237,654955,166326,2565
462650,32559756,29385967,669587,182709,2907
440873,30724552,26521480,573911,149946,2618
466925,31436637,29610676,635419,155830,2421
511943,32097645,30830977,681359,196194,3072
433997,35404456,33360686,666317,155790,2440
492321,37373124,33557437,705190,174458,2473
519871,30666027,28937633,1474379,198516,3011
507334,33686692,31727807,680429,168898,2563
491674,35594769,36012171,781959,199286,2831
454071,36118696,32818354,658139,172806,2742
478735,32407717,33983426,701211,170959,2563
525825,35689636,36049447,759486,209607,2997
509965,31225447,30644852,685518,154632,2504
516312,36750404,33169103,655923,169764,2561
595729,42923886,34895401,772518,197294,2948
500578,31589418,30778193,753406,194319,2757
471138,34862840,31788094,768373,191504,2582
485361,37975538,38132703,758185,187384,2730
509950,39310242,33371467,716812,178045,2553
574074,36135405,34118967,720329,183678,2826
496410,33077015,32146176,731191,179419,2445
492703,37087880,36516988,736414,169333,2474
617381,39936987,34706699,836797,227352,3013
460243,34357616,32711039,685419,166731,2441
601127,44480542,40242786,876979,225692,2875
520946,36812633,35415719,747791,177492,2569
505874,34027655,33722813,723247,186284,2770
699332,35376171,34026621,873826,225479,3596
492867,34442504,34709498,721997,171499,2513
563642,33982155,32538430,760306,189149,2838
568350,40012920,34561173,858369,224597,2922
498861,30770508,29750077,666281,165262,2442
673011,41760312,36773806,865017,220602,3038
539165,35880472,35620762,816534,212795,3100
487650,36238498,34503301,791154,202818,2836
536415,38888517,35834572,775615,193305,2644
519143,39633251,36865177,754868,177725,2475
668651,37849730,35617758,951101,244142,3086
507310,34999029,34410294,691202,159823,2517
558228,37446182,36578416,734578,171165,2578
498665,35297402,35933447,817948,195830,3783
513954,37569838,32695740,712284,182182,2624
502227,31445988,30307787,682741,172887,2534
532786,42052187,34055567,713879,190619,2727
536162,43388081,39138928,779134,179522,2530
526673,40525119,36754624,725402,194173,2663
612309,40921631,38280323,791057,184628,2591
667260,41431088,41798884,913232,251273,3459
509843,39474882,37144540,747254,176872,2444
570816,39387128,36988657,801733,199545,3535
619668,42757405,41688649,867599,216040,2954
549219,40720157,35467609,746888,182209,2554
764784,36353455,35660396,928449,243342,3284
733622,38331608,37697996,879201,227292,3186
570453,40035452,38116860,805400,189899,2657
562247,47246492,41750957,854406,207942,2646
538043,40576379,38158752,849941,211960,2684
657803,39439421,36814495,873268,232710,3034
470566,40550751,36900953,753544,188264,2521
582112,40294579,37507050,810889,205740,2704
576866,35341904,30689251,661684,166830,2480
533290,35581882,34781647,737328,184989,2572
604678,47875587,40129676,821284,214929,2803
611688,43112517,30902665,723134,185448,2726
654487,37197142,36010065,860997,234793,3156
567883,45545161,42939798,900287,231340,2970
705801,46864835,43262599,982817,252945,3039
477209,35740134,33407372,729487,177482,2392
561486,38288005,33877274,779949,196489,2641
517134,37479339,37629422,739403,192469,2592
519761,37029748,37416577,806043,187262,2589
651772,46465036,40632821,897655,222088,2939
550321,44762257,42866702,814128,196835,2608
637055,52403227,40170479,915593,246877,3062
553714,38825177,38572236,816051,210955,2579
575232,40770941,41857772,918675,226700,2874
549807,38405476,37493030,799418,196115,3625
638479,44746565,41151666,812929,181441,2410
540325,40029238,37282713,817375,223360,3126
641368,40862394,41731069,882944,218183,2771
731621,52539024,48190843,1042644,245270,3408
638202,46438973,40240015,861979,205391,2707
732888,44489931,41334462,930553,236535,2910
521107,46257045,44779605,837094,198371,2425
857510,48643521,43426330,2064959,270205,3225
502872,43793901,43081304,828626,205253,2766
607438,38273879,36513925,778076,188377,2825
619067,39563510,38755849,871952,224400,2716
494423,36263932,34539464,714731,178294,2414
576126,48255719,42692671,897657,233831,2655
529706,42362838,38125823,812519,214257,2693
603059,42796380,42809102,886267,221573,3031
621092,43871836,39821586,881082,221213,2755
846338,50193771,44640342,1077383,248539,3273
713440,44670420,44813245,1011477,249399,3207
667519,47214459,43219173,870505,218988,2736
619024,44171612,39652423,882705,208030,2663
686893,45757442,42935900,1003382,253264,4655
615490,45852325,42548156,831712,205750,2646
773063,50197710,45369985,959240,236743,2855
659288,49053397,44250944,877184,221917,3006
601982,41150341,38284632,786519,198087,2706
630911,40048726,37644728,838512,210210,2768
682503,44601148,44873902,924421,221935,2869
586862,37021104,38053798,877013,214535,2868
647608,49641974,44914868,914749,218832,2668
562892,48351050,45899640,876810,209333,2558
594227,45749950,48256739,925673,221597,2840
617365,44180113,41972526,922224,236024,2862
693815,53092328,53442622,1084947,251948,2863
680595,47809758,47239709,1023024,248990,3368
685393,52790038,49220435,1015029,248973,2820
605168,42060861,38630827,843214,215414,2585
627814,46233744,44027717,881930,212130,2780
613372,43786307,44559703,926356,216462,2673
639025,54678023,51725125,976421,215065,2679
723823,50812520,42607776,923636,228566,2789
654694,50949675,49124841,928039,230473,2863
560417,45308415,44718990,874971,203982,2422
653001,48397951,47665512,957941,229313,2748
751629,43052351,42100089,1035240,263724,3766
657698,41706571,37148114,809148,212227,2631
582122,46897220,42456934,881977,218871,2558
724108,52110003,47166067,893977,211965,2603
671665,43470061,42895113,961289,256177,3060
659040,57779884,52459866,982294,234177,2867
597489,42630365,35071541,812990,214013,2706
651767,42360746,41849975,907019,219030,2734
641286,55428256,54213295,1085750,262125,2834
783231,49715616,47410396,1062979,243374,2763
626431,46112170,40383492,819378,207554,2695
688582,50973686,51215133,1041548,237903,2822
687314,44492598,45541480,978642,230498,2660
750628,47167373,42046253,964183,223989,2794
624154,51216358,49431407,993668,236957,2703
617600,45975728,43774246,880045,218795,2631
724603,46429630,43275827,909353,232714,3016
655067,48414631,45238653,1768189,239487,3072
657932,57426587,52369832,981508,240821,2930
611389,50119327,51162024,967014,239758,2838
612198,44793197,43846812,858015,207411,2638
656127,48210489,47912955,987620,257026,3148
622612,50196504,48578825,946683,232979,2648
667111,56689159,53103121,1033730,248186,2997
564720,51268988,51968299,912824,217318,2502
807383,57077248,51292274,1108547,276702,3038
614012,49331439,46930257,907123,218067,2628
712250,43087622,41793981,908780,227290,2768
616015,44891379,44815955,847642,202137,2414
677944,49398931,50386508,940660,222782,2672
661597,51196304,51437432,972332,221645,2496
701642,48161175,43731282,970967,230643,2658
692826,55676550,52590337,1070935,268663,3039
793017,54804498,53643139,1266258,277700,2947
703046,53561631,52516821,985893,236425,2904
631260,53079501,49545039,962329,226593,2623
805572,52202446,51481442,1056674,268172,3228
675415,54984632,51550347,990023,228890,2546
915798,61964604,57363554,1265108,341026,3307
598673,56336055,54201947,1006101,237772,2542
616849,46789801,45898935,907023,227610,2720
861738,60221802,54848487,1145993,276260,3080
624179,56336583,51372825,948349,241471,2701
653686,59695494,56631571,1024639,248297,2782
698051,52453043,47386815,1039294,258710,3358
873588,49055889,46739285,1125356,279313,3391
743095,59743714,57828808,1112658,254296,2831
714654,49074613,46894544,959750,221033,2752
968130,51006121,44076614,1024326,304359,3582
836772,52962083,47962136,1139355,262460,3221
866782,58054226,49602286,1103495,280142,3532
1102212,66247153,68910927,1486583,365897,4136
910648,52508368,52015463,1180377,319938,4007
944206,67069015,59680141,1303938,342451,4074
987860,53509602,54843835,1334849,349210,4776
1030653,70441871,63309302,1352441,350220,4060
953703,53461800,49464718,1170617,364039,4875
961636,59097032,57538604,1187320,290086,3576
877373,58730968,53969805,1201846,284099,3095
1100783,63625622,63322846,1594829,377314,4229
788569,57606333,54900602,1561502,509268,3696
758524,60183300,56931062,1199051,290524,3282
841252,61993776,57962512,1205410,268286,3197
971658,60826503,50408448,1233969,310841,3630
655549,62215028,59043564,1069295,252234,2616
894504,58960131,59758949,1262662,313228,3011
790882,60845625,60383059,1074487,245677,2863
777936,57589668,56990386,1049974,237719,2790
790002,54675966,54768121,1128550,272858,2983
689729,54014520,50532604,1010408,238812,2636
896694,63669246,60974597,1241859,282118,2953
776254,65646706,62692956,1196651,292965,2781
685997,59780774,53971990,982410,234497,2549
848628,60802433,60058109,1126643,259648,2847
682882,64133454,57963450,1125825,270404,2897
692927,60230632,57580621,1114135,269044,2755
702743,58690972,55553380,1084335,300664,3081
778237,53416300,53739164,1055922,253229,2829
670015,54529232,51979960,1030544,260159,3006
727519,60551234,56424017,1149880,1811195,3007
716503,50371120,47052829,1029240,253332,2911
728491,61055662,59432974,1173682,296086,3087
883792,58978241,57618183,1105955,311632,2914
730639,55150246,53745319,1058285,268374,3054
823479,61023930,60421889,1096599,271792,3057
689861,55617133,55299622,1038692,254558,2497
829825,66406777,60853421,1109387,265356,2757
800077,58853076,59182729,1146328,255307,2640
731224,51957883,52205686,1042380,241949,2981
877347,59805976,56861092,1193706,283691,3078
743261,47092748,46656274,959242,234983,2669
1057134,64333445,60003600,1261270,310714,3829
722907,65162191,61497586,1112645,247737,2603
771474,74184093,67080072,1144964,245861,2785
982429,55410430,48348753,1165859,303816,3381
902296,59060162,58498376,1248136,306351,3301
758945,61288087,59059723,1169100,279850,2767
850734,66660497,65315585,2085834,325980,3114
744549,61693077,57358791,1016656,232701,2484
822836,61835272,56305347,1130185,266085,2798
754993,70506202,65877633,1215325,300750,2990
866688,64683611,61668990,1156606,276393,2870
821823,66803859,65256408,1180976,276765,2830
1081679,78278095,74730552,1500297,381410,3529
934746,68382577,67402882,1394868,330163,3481
913533,71162667,65892270,1233296,289707,2899
1048574,66968850,65037073,1308713,300463,3233
1028435,58980239,54550133,1272529,298305,3217
753353,59709269,53340417,1000905,241315,2548
953958,72653198,68809794,1356055,319916,2925
774869,69439995,63357825,1110837,305094,2720
938094,73970108,69328041,1280073,321562,3136
689171,56276743,57425773,1129034,271813,2672
1015787,65218845,64053649,1248238,304563,3035
813283,62937582,60592065,1084744,243149,2548
781657,75856797,61889801,1090355,255634,2628
926341,63950521,61035396,1291646,341002,3396
991891,63983080,63116325,1290650,324008,4276
835601,60778988,62123104,1161150,267919,2727
847375,66147232,62178044,1246271,311925,3185
1079308,69788495,65120953,1367760,324468,3202
786351,53562761,49158248,971423,241771,2734
947864,66796314,67071776,1309218,304016,3939
934998,69763859,68434424,1388271,299999,3047
891758,56459058,57394470,1099663,250297,2632
1011465,59168362,56503013,1223797,297123,3132
841812,63209531,60904515,1192811,284728,2984
943139,57485122,54808088,1157470,278818,2908
858730,64368387,60801667,1118505,263380,2850
811912,68905053,66978629,1213166,288716,2841
885281,70775248,70664638,1311307,310313,2889
953248,61616295,58736966,1175820,276328,2849
853410,57358500,56531191,1103685,252597,2630
712810,60567221,53897165,1112830,270502,2623
842408,65304509,64498117,1259384,289011,3023
933734,68251378,67032834,1304995,302588,2947
847339,70677253,71371373,1282327,299465,2715
844583,70432894,67137248,1201799,270957,2845
1177907,80631144,79362701,1615905,360456,3251
868144,72619525,67178040,1284565,309870,3417
880124,67921042,68404711,1282163,280420,2678
876184,69936081,63485020,1168630,270369,2866
888097,58652284,57261729,1163435,256989,3069
775228,69582433,65754362,1200740,289619,2729
987764,67246852,63742639,1206291,284171,2957
976032,69424570,68389069,1279261,289242,2872
793714,71719537,72497820,1208130,273218,2678
835038,70603630,67307794,1207442,293623,2920
951941,70387417,68898151,1331425,317607,3201
866554,64857998,61813562,1188181,298942,3089
867728,81538306,77956161,1258414,296059,2812
897192,73971161,72669893,1287298,275293,2748
843293,75294254,75545712,2217345,300279,3784
875005,69805895,66706549,1369336,332178,3964
1015798,70839125,66797463,1379611,323213,3044
836600,69264070,64200000,1163591,280527,2789
860879,68378590,68625914,1218052,266312,2785
919175,82185688,70774957,1336039,335993,3254
966822,86522231,74256744,1321206,318701,2853
1014958,75608385,72826679,2228460,315428,2957
938304,87303322,85108042,1458338,320809,2905
1070473,68225828,67333340,1335965,318169,3147
1023329,70165081,64006134,1369964,343950,3176
762788,75242900,72971767,1296897,291976,2720
916597,66347334,65252430,1243320,307477,2956
1053655,77051993,68311217,1376209,336440,3287
941754,78518735,71116986,1332065,327967,3041
844043,72359106,70630604,1307485,300986,2844
1138263,79687335,77262399,1504910,366702,3458
961099,68748364,63880699,1160259,267264,2743
934563,88566094,84219739,1403325,325050,2890
791203,66996490,66622214,1180224,287943,2842
850031,76084594,75752302,1323441,303568,2903
1227319,83306502,79005598,1579903,346123,3385
1195340,84426465,86940124,1550336,352648,3327
846160,63844428,62869036,1199834,291158,3019
960293,83592980,81848016,1452989,349102,3194
939389,75124536,75374474,1400203,320707,2937
857301,66898087,66583204,1190869,271524,2537
783995,72689846,74006994,1351678,304665,2882
944644,72742946,65948992,1318485,318458,2924
882899,62793072,57906124,1150168,283612,2968
921275,81732999,82772447,1445202,327854,2885
836573,72760185,70089923,1372791,340287,2902
894347,72870742,65922549,1361663,332269,3072
1126644,81335161,79687443,1571389,379807,3353
951446,86671195,76442361,1463417,343195,3198
905889,76378939,74007139,1311766,306240,2915
1035782,67444237,62786287,1313300,321419,10359
975016,86365162,81345393,1525027,365734,3545
849703,72777870,68252919,1216949,283167,2634
820682,75509023,70692041,1241304,301120,2747
1073257,87260952,81903632,1402909,322329,2827
1133662,79634275,75385659,1397766,310750,3318
918972,80011107,70910619,1327720,339132,3043
973077,90105417,83584715,1470441,340428,2873
1166358,92431219,89748540,1657299,368536,3103
997830,82950368,80531221,1516992,359044,3466
907499,84751215,79578148,1413885,358611,3078
1009639,71569792,66771253,1319726,297268,2797
978134,77185099,76213354,1460876,330534,2852
1224204,87367319,82192119,1715300,415943,3424
1307705,71311408,70862990,1558110,350353,3545
1092458,83095292,80735243,1507081,362445,3187
974044,73104589,69033942,1304800,300549,3011
996999,85836534,80066726,1436978,324041,2781
967992,73043772,66410406,1321473,319118,3110
1086083,84738411,83551078,1514843,344532,2986
1159790,81338768,79599268,1538378,366451,3018
